Source,Title,Content,Section,URL,Date
Expansion,Es poco probable que México pierda grado de inversión: Moody's,"La agencia señala que un mayor déficit fiscal, absorber deuda de Pemex y un bajo crecimiento sí pueden impactar su calidad crediticia.",Economía,https://expansion.mx/economia/2024/09/25/poco-probable-mexico-pierda-grado-inversion-moodys,25/09/2024
Expansion,Revolut planea operar en los primeros meses de 2025,"Juan Guerra, director general de la firma, dijo que espera arrancar operaciones el siguiente año con una cuenta de débito nivel 4 y transferencias internacionales.",Economía,https://expansion.mx/economia/2024/09/25/revolut-planea-operar-en-los-primeros-meses-de-2025,25/09/2024
Expansion,"Pemex requerirá 50,200 mdd en los tres primeros años de Sheinbaum, prevé Moody's","Sin el apoyo del gobierno la calificación real de Pemex sería una Ca, es decir con un 80% de incumplimiento de sus compromisos financieros.",Economía,https://expansion.mx/economia/2024/09/25/pemex-requerira-50-200-mdd-primeros-anos-sheinbaum-moodys,25/09/2024
Expansion,La Condusef alerta por suplantación de identidad de 24 financieras,Veinticuatro instituciones debidamente constituidas han reportado la suplantación de su identidad para cometer fraudes entre los usuarios.,Economía,https://expansion.mx/economia/2024/09/25/condusef-alerta-por-suplantacion-de-identidad-de-financieras,25/09/2024
Expansion,¿Abren los bancos el 1 de octubre? Esto dice el calendario de la CNBV,"El 1 de octubre, Claudia Sheinbaum toma posesión como la primera presidenta de México, esto implica un suceso de trascendencia nacional, por lo cual la mayoría de los empleados descansará.",Economía,https://expansion.mx/economia/2024/09/25/abren-bancos-1-octubre-2024-calendario-cnbv,25/09/2024
Expansion,Mercado Pago lo hace oficial: presentó solicitud para ser banco digital,La cuenta digital busca la aprobación de licencia bancaria ante la Comisión Nacional Bancaria y de Valores para ofrecer servicios de banca múltiple.,Economía,https://expansion.mx/economia/2024/09/25/mercado-pago-banco-mexico-permiso-cnbv,25/09/2024
Expansion,Banxico sólo tiene espacio para hacer recorte de 25 puntos,Los analistas consideran que el banco central debe tener cautela al bajar tasas en periodos de volatilidad y descartan que hagan un recorte de 50 puntos como lo hizo la Reserva Federal.,Economía,https://expansion.mx/economia/2024/09/25/por-que-banxico-no-puede-hacer-recortes-50-puntos-tasa,25/09/2024
Expansion,La OCDE ajusta a la baja su previsión del PIB para México,"De acuerdo con el organismo, la economía mexicana crecerá 1.4% este año, 0.8% menos que en la previsión anterior.",Economía,https://expansion.mx/economia/2024/09/25/ocde-crecimiento-pib-mexico-2024-1-4,25/09/2024
Expansion,BBVA mantiene su confianza en México ante la transición presidencial,"El país sigue siendo atractivo a largo plazo gracias a su estructura de costos y apalancamiento en comparación con Estados Unidos, dijo Onur Genç, consejero delegado de BBVA.",Economía,https://expansion.mx/economia/2024/09/25/bbva-mantiene-su-confianza-en-mexico-ante-la-transicion-presidencial,25/09/2024
Expansion,China recorta otra tasa de interés para impulsar la economía,"El interés de los préstamos a un año concedidos a las instituciones financieras se redujo del 2.3 al 2%, informó el banco central.",Economía,https://expansion.mx/economia/2024/09/25/china-recorta-otra-tasa-de-interes-para-impulsar-la-economia,25/09/2024
Expansion,La austeridad selectiva predominó en el gobierno de AMLO,"Más que recortes a gastos onerosos o generar ahorros, el gasto público llegó a niveles récord, obedeciendo a prioridades y obligaciones del gobierno a cargo de Andrés Manuel López Obrador.",Economía,https://expansion.mx/economia/2024/09/25/austeridad-gobierno-amlo,25/09/2024
Expansion,Mexicanos gastan 12% más en bebidas energéticas,Datos de Kantar muestran que en los últimos años ha aumentado tanto el número de litros comprados como el precio de este tipo de bebidas.,Economía,https://expansion.mx/economia/2024/09/24/mexicanos-gastan-12-mas-en-bebidas-energeticas,24/09/2024
Expansion,Trump amaga con arancel de 100% a autos que entren por la frontera con México,El candidato presidencial dijo que la única manera de que se libren de esa cuota es si quieren construir una planta en Estados Unidos.,Economía,https://expansion.mx/economia/2024/09/24/trump-amaga-arancel-100-autos-entren-frontera-mexico,24/09/2024
Expansion,"Cetes a dos años reducen rendimientos a un dígito, anticipa recorte de Banxico","Todos los plazos de los Cetes redujeron sus ganancias, pero el plazo de dos años ofrece la tasa más baja de 9.92%, a la espera de que Banxico haga un nuevo recorte.",Economía,https://expansion.mx/economia/2024/09/24/cetes-a-dos-anos-reducen-rendimientos-a-un-digito-anticipa-recorte-de-banxico,24/09/2024
Expansion,Openbank lanza su lista de espera para clientes mexicanos,Openbank México abre en su sitio web la lista de espera para aquellos usuarios que quieran acceder a la oferta de este nuevo banco digital.,Economía,https://expansion.mx/economia/2024/09/24/openbank-lanza-lista-de-espera-para-clientes-mexicanos,24/09/2024
Expansion,"Banco Mundial logra récord de 56,000 mdd en inversiones CFI","Para el ejercicio financiero que finalizará en julio de 2025, el Banco Mundial buscará centrar sus esfuerzos en infraestructura, particularmente en carreteras y transporte.",Economía,https://expansion.mx/economia/2024/09/24/banco-mundial-creditos-cfi-record-56-000-mdd,24/09/2024
Expansion,China presenta medidas de relajación monetaria para reactivar la economía,"El Banco Popular de China recortará el tipo de interés de las operaciones dobles a siete días en 0.2 puntos porcentuales, hasta el 1.5%.",Economía,https://expansion.mx/economia/2024/09/24/china-presenta-medidas-reactivacion-de-economia,24/09/2024
Expansion,"Inflación sigue a la baja, en la primera mitad de septiembre se ubicó en 4.66%","El índice subyacente terminó la primera quincena de septiembre en 3.95% y el no subyacente en 6.73%, de acuerdo con datos publicados por el Inegi.",Economía,https://expansion.mx/economia/2024/09/24/inflacion-en-mexico-sigue-a-la-baja-inpc-septiembre,24/09/2024
Expansion,"Fomentar vivienda de interés social y eliminar corrupción, retos del Infonavit","Analistas señalan que el instituto tiene pendientes en materia de avanzar en la digitalización y la agilización de trámites, así como en mejorar los rendimientos en la subcuenta de vivienda.",Economía,https://expansion.mx/economia/2024/09/24/pendientes-logros-infonavit,24/09/2024
Expansion,Denuncian a Visa por monopolio en Estados Unidos,"El Departamento de Justicia de Estados Unidos busca denunciar a la empresa  por monopolio en el mercado de tarjetas de débito, de acuerdo con un reporte de Blomberg.",Economía,https://expansion.mx/economia/2024/09/23/denuncian-a-visa-por-monopolio-en-estados-unidos,24/09/2024
Expansion,Empresas de EU reactivarán anuncios de inversión; confían en Sheinbaum,"Tras detener un anuncio importante de inversión por la reforma judicial, la American Society of Mexico informó que en próximas fechas se retomará, pero con cautela.",Economía,https://expansion.mx/economia/2024/09/23/empresas-de-eu-reactivaran-anuncios-de-inversion-confian-en-sheinbaum,23/09/2024
Expansion,El endeudamiento de mexicanos en el exterior representa 35% del PIB,El Banco de México (Banxico) dio a conocer que en el segundo trimestre del año se redujo el endeudamiento del mundo desde el 42% reportado en el primer trimestre.,Economía,https://expansion.mx/economia/2024/09/23/deuda-de-mexicanos-en-el-exterior-representa-35-del-pib,23/09/2024
